lat,lon,borough
51.49202,-0.15866,Kensington and Chelsea
51.500272,-0.15870538,Kensington and Chelsea
51.500496,-0.1609728,Kensington and Chelsea
51.498389,-0.16249835,Kensington and Chelsea
51.496984,-0.1680871,Kensington and Chelsea
51.495899,-0.167756,Kensington and Chelsea
51.493731,-0.15964603,Kensington and Chelsea
51.49212,-0.15668579,Kensington and Chelsea
51.490678,-0.16105102,Kensington and Chelsea
51.489275,-0.15875955,Kensington and Chelsea
51.490884,-0.16962807,Kensington and Chelsea
51.490304,-0.16763462,Kensington and Chelsea
51.48862,-0.16631934,Kensington and Chelsea
51.487014,-0.16423763,Kensington and Chelsea
51.48525,-0.16472616,Kensington and Chelsea
51.487031,-0.16020387,Kensington and Chelsea
51.484011,-0.16431499,Kensington and Chelsea
51.48402,-0.16777129,Kensington and Chelsea
51.48651,-0.16710976,Kensington and Chelsea
51.48819,-0.16682,Kensington and Chelsea
51.48715,-0.16967,Kensington and Chelsea
51.486884,-0.17088294,Kensington and Chelsea
51.482726,-0.17241752,Kensington and Chelsea
51.483324,-0.17674318,Kensington and Chelsea
51.484858,-0.17881364,Kensington and Chelsea
51.481665,-0.1851625,Kensington and Chelsea
51.48244,-0.18648,Kensington and Chelsea
51.484497,-0.18513648,Kensington and Chelsea
51.485212,-0.18307727,Kensington and Chelsea
51.48544,-0.18096534,Kensington and Chelsea
51.48922,-0.17306534,Kensington and Chelsea
51.488871,-0.17780389,Kensington and Chelsea
51.492558,-0.17258617,Kensington and Chelsea
51.49386,-0.17438,Kensington and Chelsea
51.493531,-0.17848243,Kensington and Chelsea
51.491576,-0.18062026,Kensington and Chelsea
51.490653,-0.18082986,Kensington and Chelsea
51.487809,-0.18239786,Kensington and Chelsea
51.4884,-0.18336826,Kensington and Chelsea
51.48624,-0.18678128,Kensington and Chelsea
51.48684,-0.19047,Kensington and Chelsea
51.488472,-0.1868656,Kensington and Chelsea
51.488095,-0.18922842,Kensington and Chelsea
51.488058,-0.19442971,Kensington and Chelsea
51.490531,-0.19734262,Kensington and Chelsea
51.490778,-0.19005841,Kensington and Chelsea
51.491025,-0.18801752,Kensington and Chelsea
51.498694,-0.17977493,Kensington and Chelsea
51.496949,-0.17971481,Kensington and Chelsea
51.497019,-0.18423576,Kensington and Chelsea
51.495961,-0.18499814,Kensington and Chelsea
51.493211,-0.18395492,Kensington and Chelsea
51.493015,-0.1875497,Kensington and Chelsea
51.493466,-0.18881391,Kensington and Chelsea
51.492312,-0.19270587,Kensington and Chelsea
51.49388,-0.1916,Kensington and Chelsea
51.495941,-0.19187082,Kensington and Chelsea
51.49497,-0.197042569,Kensington and Chelsea
51.495059,-0.20000201,Kensington and Chelsea
51.49753,-0.19771,Kensington and Chelsea
51.49693,-0.20459,Kensington and Chelsea
51.49767,-0.20847129,Kensington and Chelsea
51.498891,-0.21006588,Kensington and Chelsea
51.49855,-0.201334,Kensington and Chelsea
51.499831,-0.19807066,Kensington and Chelsea
51.49959,-0.19709,Kensington and Chelsea
51.50048,-0.19464,Kensington and Chelsea
51.501145,-0.19348027,Kensington and Chelsea
51.50157,-0.19154,Kensington and Chelsea
51.50202,-0.19052,Kensington and Chelsea
51.50243,-0.18788,Kensington and Chelsea
51.50148,-0.18718505,Kensington and Chelsea
51.501891,-0.18585757,Kensington and Chelsea
51.500404,-0.20260094,Kensington and Chelsea
51.502544,-0.19616256,Kensington and Chelsea
51.502865,-0.19068903,Kensington and Chelsea
51.505521,-0.1920536,Kensington and Chelsea
51.504382,-0.1957874,Kensington and Chelsea
51.504369,-0.19787723,Kensington and Chelsea
51.503521,-0.20762229,Kensington and Chelsea
51.505651,-0.19879209,Kensington and Chelsea
51.50538,-0.21334,Kensington and Chelsea
51.50579,-0.2116,Kensington and Chelsea
51.506803,-0.20409276,Kensington and Chelsea
51.507483,-0.20563672,Kensington and Chelsea
51.50861,-0.20351,Kensington and Chelsea
51.508731,-0.20084661,Kensington and Chelsea
51.509985,-0.19817443,Kensington and Chelsea
51.51101,-0.19985,Kensington and Chelsea
51.511438,-0.20084086,Kensington and Chelsea
51.511807,-0.20200808,Kensington and Chelsea
51.511577,-0.19704517,Kensington and Chelsea
51.514117,-0.19612,Kensington and Chelsea
51.513285,-0.19875041,Kensington and Chelsea
51.51296,-0.20037738,Kensington and Chelsea
51.513722,-0.20262443,Kensington and Chelsea
51.508633,-0.20794043,Kensington and Chelsea
51.50874,-0.21197119,Kensington and Chelsea
51.510386,-0.21144557,Kensington and Chelsea
51.51039,-0.21732,Kensington and Chelsea
51.510878,-0.2165567,Kensington and Chelsea
51.511959,-0.21846003,Kensington and Chelsea
51.51196,-0.21787,Kensington and Chelsea
51.511825,-0.21324828,Kensington and Chelsea
