lat,lon,borough
51.50646,-0.11304,Lambeth
51.49414,-0.11956,Lambeth
51.4886,-0.12205,Lambeth
51.49895,-0.11666,Lambeth
51.49108,-0.11814,Lambeth
51.48990855,-0.114568849,Lambeth
51.49295,-0.11081,Lambeth
51.50559,-0.11121,Lambeth
51.50301,-0.11747,Lambeth
51.50479,-0.1164,Lambeth
51.50387,-0.10907,Lambeth
51.50349,-0.10998,Lambeth
51.50706,-0.11094,Lambeth
51.49444,-0.11446,Lambeth
51.49281,-0.11082,Lambeth
51.50249206,-0.108976845,Lambeth
51.504131,-0.111797,Lambeth
51.470161,-0.1390561,Lambeth
51.4847503,-0.1154018,Lambeth
51.4663463,-0.1007388,Lambeth
51.4664404,-0.1042484,Lambeth
51.468373,-0.0981884,Lambeth
51.4646442,-0.1077662,Lambeth
51.4637998,-0.1127053,Lambeth
51.4822732,-0.1227368,Lambeth
51.4797515,-0.1212265,Lambeth
51.4826597,-0.1177278,Lambeth
51.4815502,-0.1131934,Lambeth
51.4768556,-0.1155877,Lambeth
51.476955,-0.11924,Lambeth
51.4665634,-0.1240025,Lambeth
51.4748478,-0.1268066,Lambeth
51.47466,-0.120579,Lambeth
51.4724029,-0.1289861,Lambeth
51.4720895,-0.1293921,Lambeth
51.4748656,-0.1316364,Lambeth
51.4729144,-0.1167862,Lambeth
51.4778503,-0.1230505,Lambeth
51.4723039,-0.1045959,Lambeth
51.4740125,-0.1103192,Lambeth
51.4796013,-0.1275622,Lambeth
51.472672,-0.123017,Lambeth
51.50421985,-0.113463709,Lambeth
51.50405209,-0.112665821,Lambeth
51.452345,-0.12996323,Lambeth
51.453802,-0.12096545,Lambeth
51.449045,-0.14355441,Lambeth
51.455816,-0.12486987,Lambeth
51.45633,-0.13286632,Lambeth
51.455121,-0.1360103,Lambeth
51.456049,-0.11918909,Lambeth
51.44854,-0.12821899,Lambeth
51.447964,-0.1383166,Lambeth
51.44794,-0.13485,Lambeth
51.448542,-0.13168733,Lambeth
51.44742,-0.12749,Lambeth
51.454608,-0.13993186,Lambeth
51.450194,-0.12816575,Lambeth
51.450247,-0.12299681,Lambeth
51.452667,-0.14173789,Lambeth
51.452233,-0.14726796,Lambeth
51.463464,-0.13470583,Lambeth
51.462613,-0.14057094,Lambeth
51.463232,-0.12976296,Lambeth
51.465099,-0.11271269,Lambeth
51.488866,-0.11157295,Lambeth
51.466002,-0.13542296,Lambeth
51.462585,-0.10679885,Lambeth
51.466169,-0.14198127,Lambeth
51.495932,-0.11309617,Lambeth
51.463762,-0.14216542,Lambeth
51.468795,-0.14485496,Lambeth
51.470075,-0.11623657,Lambeth
51.457643,-0.12836483,Lambeth
51.457996,-0.13527421,Lambeth
51.461909,-0.11621294,Lambeth
51.459895,-0.12573917,Lambeth
51.459423,-0.13112786,Lambeth
51.457544,-0.14192848,Lambeth
51.456787,-0.14577371,Lambeth
51.457828,-0.14337081,Lambeth
51.462614,-0.13895853,Lambeth
51.460646,-0.11878414,Lambeth
51.464132,-0.097420179,Lambeth
51.460272,-0.11504236,Lambeth
51.484888,-0.12144501,Lambeth
51.496995,-0.11210141,Lambeth
51.474638,-0.12094457,Lambeth
51.460996,-0.11142802,Lambeth
51.488579,-0.1205587,Lambeth
51.49125,-0.10534,Lambeth
51.487591,-0.11227379,Lambeth
51.45584,-0.14371,Lambeth
51.44169,-0.13565,Lambeth
51.43887,-0.12798,Lambeth
51.43907,-0.12259,Lambeth
51.44686,-0.11889,Lambeth
51.43561,-0.12929,Lambeth
51.44325,-0.12524,Lambeth
51.49119,-0.10815,Lambeth
51.49856,-0.11014,Lambeth
51.48637,-0.1089,Lambeth
51.46099,-0.13551,Lambeth
51.49824,-0.11271,Lambeth
51.50156,-0.1082,Lambeth
51.49267,-0.11064,Lambeth
51.49406,-0.10698,Lambeth
51.50016,-0.11092,Lambeth
51.50525,-0.10663,Lambeth
51.49433,-0.11465,Lambeth
51.49221,-0.11364,Lambeth
51.44459,-0.11278,Lambeth
51.4374,-0.1107,Lambeth
51.50281,-0.11718,Lambeth
51.434187,-0.13601372,Lambeth
51.438609,-0.13646678,Lambeth
51.440774,-0.11328394,Lambeth
51.442273,-0.11866151,Lambeth
51.435366,-0.12369317,Lambeth
51.431593,-0.13522733,Lambeth
51.430073,-0.13576396,Lambeth
51.430545,-0.12869561,Lambeth
51.431988,-0.13065075,Lambeth
51.43114,-0.12654214,Lambeth
51.427102,-0.085321785,Lambeth
51.419098,-0.13549144,Lambeth
51.422495,-0.13538193,Lambeth
51.420011,-0.12681026,Lambeth
51.428246,-0.13281743,Lambeth
51.426288,-0.13186154,Lambeth
51.44255,-0.11017452,Lambeth
51.44663,-0.10555922,Lambeth
51.431837,-0.11225668,Lambeth
51.429097,-0.11018301,Lambeth
51.433375,-0.10781965,Lambeth
51.421013,-0.083102355,Lambeth
51.432598,-0.091479708,Lambeth
51.434196,-0.10352712,Lambeth
51.436497,-0.10399296,Lambeth
51.43602,-0.099020122,Lambeth
51.439151,-0.095221,Lambeth
51.436877,-0.094696942,Lambeth
51.422398,-0.089128658,Lambeth
51.43145,-0.09266831,Lambeth
51.39450928,-0.238438736,Merton
51.41097553,-0.227522677,Merton
51.41049389,-0.229225978,Merton
51.41031948,-0.230142406,Merton
51.40943233,-0.230250585,Merton
51.40920468,-0.227730977,Merton
51.40864399,-0.229812959,Merton
51.40938205,-0.213742249,Merton
51.40840025,-0.216079047,Merton
51.39471769,-0.225391333,Merton
51.39266422,-0.223303217,Merton
51.3913258,-0.222373532,Merton
51.40319157,-0.214742496,Merton
51.40279373,-0.209594656,Merton
51.40284931,-0.204876993,Merton
51.38999604,-0.198444909,Merton
51.38990929,-0.197334399,Merton
51.39226439,-0.17628964,Merton
51.39708022,-0.190031793,Merton
51.40298009,-0.192138558,Merton
51.42229592,-0.207825682,Merton
51.42100681,-0.209658276,Merton
51.4210328,-0.20414325,Merton
51.4195271,-0.205317754,Merton
51.41923085,-0.200640428,Merton
51.41944916,-0.195652874,Merton
51.42570188,-0.18931606,Merton
51.42260896,-0.17722017,Merton
51.42075334,-0.186787767,Merton
51.41998861,-0.18282222,Merton
51.41831949,-0.185778142,Merton
51.4155369,-0.191524238,Merton
51.41485415,-0.188745911,Merton
51.41639695,-0.183692585,Merton
51.4166521,-0.182839232,Merton
51.41640453,-0.1822805,Merton
51.41613364,-0.18218418,Merton
51.41803828,-0.178539717,Merton
51.41352109,-0.177694682,Merton
51.41277136,-0.178359496,Merton
51.41123803,-0.182560566,Merton
51.40972693,-0.178214764,Merton
51.41785303,-0.161686878,Merton
51.41309544,-0.164365337,Merton
51.41159943,-0.161275179,Merton
51.40862186,-0.162751592,Merton
51.40704136,-0.163692703,Merton
51.40769018,-0.170141269,Merton
51.40746873,-0.170642396,Merton
51.40608005,-0.165317726,Merton
51.40580261,-0.165990921,Merton
